Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1162999,DOG,GERM SHEPHERD,DC 16,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-11-23,APP INJ,RETURNED TO OWNER,2022-11-27
A1023536,DOG,PIT BULL,186036-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-10-05,APP WNL,RETURNED TO OWNER,2022-10-05
A1081310,DOG,MIXED BREED,LAB 03,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-10-14,APP WNL,EUTHANIZED,2022-10-23
A1163389,DOG,MIXED BREED,DC 01,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-29,APP WNL,ADOPTION,2022-12-01
A1157650,CAT,DOMESTIC SH,CC 26,UNAVAILABLE,TREATMENT,SPAY/NEUT,OTHER,2022-10-04,APP WNL,TREATMENT,2022-10-04
A1167458,CAT,DOMESTIC SH,LFC 083,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2023-01-22,APP SICK,RETURNED TO OWNER,2023-01-23
A1169337,DOG,MIXED BREED,LFD 045,LAB,STRAY,TRAP,OTHRINTAKS,2023-02-16,APP WNL,EUTHANIZED,2023-03-02
A1165754,DOG,LABRADOR RETR,DC 02,UNAVAILABLE,OWNER SURRENDER,URGENT,OTHRINTAKS,2023-01-01,APP WNL,ADOPTION,2023-01-05
A1162556,CAT,DOMESTIC SH,CC 25,UNAVAILABLE,TREATMENT,ILLNESS,MEDICAL,2023-02-13,APP WNL,TREATMENT,2023-02-13
A1163032,DOG,MIXED BREED,LFD 094,LAB,OWNER SURRENDER,APPOINT,BEHAVIOR,2022-11-23,APP WNL,EUTHANIZED,2022-11-30
A1167815,CAT,DOMESTIC SH,FREEZER,UNAVAILABLE,OWNER SURRENDER,QUARANTINE,FINANCIAL,2023-01-27,APP WNL,EUTHANIZED,2023-01-28
A1159598,DOG,MIXED BREED,LAB 04,LAB,OWNER SURRENDER,APPOINT,BEHAVIOR,2022-10-31,APP WNL,EUTHANIZED,2022-11-03
A1147012,DOG,MIXED BREED,AD 012,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-10-07,APP WNL,ADOPTION,2022-10-16
A1165045,DOG,MIXED BREED,LFD 059,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-22,APP INJ,FOSTER,2022-12-28
A1158806,DOG,MIXED BREED,FOSTER,UNAVAILABLE,FOSTER,APPOINT,FOR ADOPT,2022-10-29,APP WNL,ADOPTION,2022-10-29
